image_name,colour_rank,hex,red,green,blue,lab_l,lab_a,lab_b
sea_025.jpg,3,#015071,1,80,113,31.75,-7.83,-24.91
sea_025.jpg,4,#035D81,3,93,129,36.84,-9.09,-26.83
sea_025.jpg,5,#035176,3,81,118,32.16,-5.85,-27.41
sea_025.jpg,6,#054768,5,71,104,28.4,-5.78,-24.39
sea_025.jpg,7,#08385C,8,56,92,22.41,-0.47,-25.63
sea_025.jpg,8,#3C5C7C,60,92,124,38.05,-2.17,-21.27
sea_025.jpg,9,#4778A2,71,120,162,48.57,-3.8,-27.61
sea_025.jpg,10,#6F829A,111,130,154,53.63,-1.23,-15.14
sea_026.jpg,1,#54B9C0,84,185,192,69.86,-27.46,-12.36
sea_026.jpg,2,#65BFCB,101,191,203,72.5,-23.83,-14.11
sea_026.jpg,3,#74CDD6,116,205,214,77.37,-24.35,-12.87
sea_026.jpg,4,#218993,33,137,147,52.14,-24.65,-13.75
sea_026.jpg,5,#3CA6AD,60,166,173,62.85,-27.71,-12.48
sea_026.jpg,6,#278798,39,135,152,51.76,-21.28,-16.98
sea_026.jpg,7,#167C88,22,124,136,47.37,-22.48,-14.78
sea_026.jpg,8,#3A96A8,58,150,168,57.66,-21.3,-17.3
sea_026.jpg,9,#56ADBF,86,173,191,66.31,-20.99,-17.21
sea_026.jpg,10,#8FDBE2,143,219,226,82.86,-21.59,-11.11
sea_027.jpg,1,#495562,73,85,98,35.56,-1.36,-9.18
sea_027.jpg,2,#525E6A,82,94,106,39.22,-1.41,-8.33
sea_027.jpg,3,#404B58,64,75,88,31.42,-1.28,-9.03
sea_027.jpg,4,#31404E,49,64,78,26.25,-1.64,-10.73
sea_027.jpg,5,#5D6774,93,103,116,43.27,-1.18,-8.31
sea_027.jpg,6,#39485A,57,72,90,30.16,-1.1,-12.26
sea_027.jpg,7,#383C47,56,60,71,25.53,0.99,-7.22
sea_027.jpg,8,#2C323E,44,50,62,20.64,0.89,-8.21
sea_027.jpg,9,#2A394C,42,57,76,23.31,-0.27,-13.7
sea_027.jpg,10,#1E2C3E,30,44,62,17.58,0.28,-13.47
sea_028.jpg,1,#026C91,2,108,145,42.5,-12.01,-27.45
sea_028.jpg,2,#016E9D,1,110,157,43.59,-8.44,-32.83
sea_028.jpg,3,#01628C,1,98,140,38.96,-8.15,-29.78
sea_028.jpg,4,#025F80,2,95,128,37.46,-10.91,-25.2
sea_028.jpg,5,#067AA4,6,122,164,47.94,-12.99,-29.94
sea_028.jpg,6,#017CAB,1,124,171,48.69,-11.14,-33.2
sea_028.jpg,7,#01557C,1,85,124,34.09,-6.62,-28.07
sea_028.jpg,8,#014F6E,1,79,110,31.3,-8.57,-23.67
sea_028.jpg,9,#013D5A,1,61,90,23.93,-5.15,-22.49
sea_028.jpg,10,#6D98B0,109,152,176,60.55,-8.44,-17.3
sea_029.jpg,1,#67D9EC,103,217,236,81.1,-26.9,-19.32
sea_029.jpg,2,#52C9DD,82,201,221,75.25,-27.14,-19.79
sea_029.jpg,3,#2195AB,33,149,171,56.79,-22.93,-20.5
sea_029.jpg,4,#138095,19,128,149,49.29,-20.8,-19.28
sea_029.jpg,5,#37A8C0,55,168,192,63.79,-23.55,-21.32
sea_029.jpg,6,#6DE5F4,109,229,244,84.97,-29.72,-17.29
sea_029.jpg,7,#42B7CE,66,183,206,69.14,-25.22,-21.03
sea_029.jpg,8,#1986A0,25,134,160,51.58,-19.34,-22.33
sea_029.jpg,9,#33A0BF,51,160,191,61.17,-19.9,-25.1
sea_029.jpg,10,#0C728A,12,114,138,44.16,-17.66,-20.4
sea_030.jpg,1,#04323F,4,50,63,18.66,-9.12,-12.57
sea_030.jpg,2,#124351,18,67,81,26.0,-11.03,-12.9
sea_030.jpg,3,#4C7D84,76,125,132,49.4,-14.98,-8.63
sea_030.jpg,4,#6D9093,109,144,147,57.43,-11.57,-5.52
sea_030.jpg,5,#175562,23,85,98,32.98,-14.2,-13.46
sea_030.jpg,6,#2E6A74,46,106,116,41.42,-16.18,-11.24
sea_030.jpg,7,#063D3F,6,61,63,22.86,-15.76,-6.08
sea_030.jpg,8,#385760,56,87,96,35.06,-8.66,-8.92
sea_030.jpg,9,#546E74,84,110,116,44.71,-8.12,-6.41
sea_030.jpg,10,#145355,20,83,85,31.8,-18.47,-6.59
